ablehnen;lehnte ab<br/>hat abgelehnt<br/>A<br/><br/>відхиляти<br/><br/>lehnen нахилятися;Verb
abnehmen;nahm ab<br/>hat abgenommen<br/>A<br/><br/>зняти / схуднути<br/><br/>nehmen брати;Verb
abstürzen;stürzte ab<br/>ist abgestürzt<br/><br/><br/>розбитися (літак)<br/><br/>stürzen падати;Verb
anbieten;bot an<br/>hat angeboten<br/>D + A<br/><br/>пропонувати<br/><br/>bieten пропонувати;Verb
anfangen;fing an<br/>hat angefangen<br/><br/><br/>починати<br/><br/>fangen ловити;Verb
ansehen;sah an<br/>hat angesehen<br/>A<br/><br/>переглядати<br/><br/>sehen дивитися;Verb
antworten;antwortete<br/>hat geantwortet<br/>D<br/><br/>відповідати<br/><br/>;Verb
aufhören;hörte auf<br/>hat aufgehört<br/><br/><br/>припиняти<br/><br/>hören слухати;Verb
aufpassen;passte auf<br/>hat aufgepasst<br/><br/><br/>стерегти, пильнувати<br/><br/>passen підходити;Verb
aufräumen;räumte auf<br/>hat aufgeräumt<br/>A<br/><br/>прибирати<br/><br/>räumen звільняти;Verb
aufstehen;stand auf<br/>ist aufgestanden<br/><br/><br/>вставати<br/><br/>stehen стояти;Verb
aufwachen;wachte auf<br/>ist aufgewacht<br/><br/><br/>прокидатися<br/><br/>wachen чувати;Verb
ausgehen;ging aus<br/>ist ausgegangen<br/><br/><br/>виходити (розваж.)<br/><br/>gehen йти;Verb
aussehen;sah aus<br/>hat ausgesehen<br/><br/><br/>виглядати<br/><br/>sehen бачити;Verb
auswandern;wanderte aus<br/>ist ausgewandert<br/><br/><br/>емігрувати<br/><br/>wandern мандрувати;Verb
bedeuten;bedeutete<br/>hat bedeutet<br/><br/><br/>означати<br/><br/>;Verb
begegnen;begegnete<br/>ist begegnet<br/>D<br/><br/>зустрічати (випадково)<br/><br/>;Verb
beginnen;begann<br/>hat begonnen<br/>A<br/><br/>починати<br/><br/>;Verb
begleiten;begleitete<br/>hat begleitet<br/>A<br/><br/>супроводжувати<br/><br/>;Verb
bekommen;bekam<br/>hat bekommen<br/>A<br/><br/>отримувати<br/><br/>;Verb
beschäftigen;beschäftigte<br/>hat beschäftigt<br/>A<br/><br/>займати<br/><br/>;Verb
beschreiben;beschrieb<br/>hat beschrieben<br/>A<br/><br/>описувати<br/><br/>schreiben писати;Verb
beschweren (sich);beschwerte sich<br/>hat sich beschwert<br/><br/><br/>скаржитися<br/><br/>schweren утяжити;Verb
besichtigen;besichtigte<br/>has besichtigt<br/>A<br/><br/>оглядати<br/><br/>;Verb
besitzen;besaß<br/>hat besessen<br/>A<br/><br/>володіти<br/><br/>sitzen сидіти;Verb
besprechen;besprach<br/>hat besprochen<br/>A<br/><br/>обговорювати<br/><br/>sprechen говорити;Verb
bestehen;bestand<br/>hat bestanden<br/><br/><br/>складатися / витримати<br/><br/>stehen стояти;Verb
besuchen;besuchte<br/>hat besucht<br/>A<br/><br/>відвідувати<br/><br/>;Verb
bewegen;bewegte<br/>hat bewegt<br/>A<br/><br/>рухати<br/><br/>;Verb
bezahlen;bezahlte<br/>hat bezahlt<br/>A<br/><br/>оплачувати<br/><br/>zahlen платити;Verb
bieten;bot<br/>hat geboten<br/>D + A<br/><br/>пропонувати<br/><br/>;Verb
bitten;bat<br/>hat gebeten<br/>A<br/><br/>просити<br/><br/>;Verb
