eine Reise buchen;eine Reise buchen<br><br>Ich möchte die Reise nach Wien buchen.<br><br>замовляти подорож<br><br>Я хочу забронювати подорож до Відня.
einen Vorschlag machen;Ich mache einen Vorschlag.<br><br>робити пропозицію<br><br>Я роблю пропозицію.
einen Spaziergang machen;Wir machen einen Spaziergang am Rhein.<br><br>робити прогулянку<br><br>Ми робимо прогулянку біля Рейну.
eine Stadt besichtigen;Wir besichtigen die Stadt Lübeck.<br><br>оглядати місто<br><br>Ми оглядаємо місто Любек.
einen Ausflug machen;Am Wochenende machen wir einen Ausflug in die Berge.<br><br>робити поїздку<br><br>На вихідних ми робимо поїздку в гори.
ansehen;-<br><br>sieht an<br>hat angesehen<br>sah an<br><br>Wir sehen uns die Fotos an.<br><br>дивитися<br><br>Ми дивимось на фотографії.
mitkommen;-<br><br>kommt mit<br>ist mitgekommen<br>kam mit<br><br>Kommst du morgen mit?<br><br>піти разом<br><br>Підеш завтра з нами?
umsteigen;in + A<br><br>steigt um<br>ist umgestiegen<br>stieg um<br><br>Wir müssen in Berlin in den Bus umsteigen.<br><br>пересідати<br><br>Ми повинні пересідати в Берліні на автобус.
anschauen;-<br><br>schaut an<br>hat angeschaut<br>schaute an<br><br>Tim schaut sich die Ausstellung an.<br><br>дивитися<br><br>Тім дивиться виставку.
sich freuen auf;auf + A<br><br>freut sich<br>has sich gefreut<br>freute sich<br><br>Ich freue mich auf den Urlaub.<br><br>радіти<br><br>Я радію відпустці.
sich ausruhen;-<br><br>ruht sich aus<br>hat sich ausgeruht<br>ruhte sich aus<br><br>Nach der Wanderung ruhe ich mich aus.<br><br>відпочивати<br><br>Після походу я відпочиваю.
sich entscheiden für;für + A<br><br>entscheidet sich<br>hat sich entschieden<br>entschied sich<br><br>Sie entscheidet sich für das Hotel.<br><br>вирішуватися<br><br>Вона вирішується на готель.
sich interessieren für;für + A<br><br>interessiert sich<br>hat sich interessiert<br>interessierte sich<br><br>Er interessiert sich für Geschichte.<br><br>цікавитися<br><br>Він цікавиться історією.
laufen;-<br><br>läuft<br>ist gelaufen<br>lief<br><br>Der kleine Hund läuft schnell.<br><br>бігти<br><br>Маленький собака біжить швидко.
wandern;-<br><br>wandert<br>ist gewandert<br>wanderte<br><br>Wir wandern gern in den Alpen.<br><br>подорожувати пішки<br><br>Ми любимо ходити в походи в Альпах.
buchen;A<br><br>bucht<br>hat gebucht<br>buchte<br><br>Ich buche ein Zimmer im Hotel.<br><br>бронювати<br><br>Я бронюю кімнату в готелі.
mieten;A<br><br>mietet<br>hat gemietet<br>mietete<br><br>Sie mietet ein Fahrrad für den Tag.<br><br>орендувати<br><br>Вона орендує велосипед на день.
besuchen;A<br><br>besucht<br>hat besucht<br>besuchte<br><br>Wir besuchen Freunde in Bordeaux.<br><br>відвідувати<br><br>Ми відвідуємо друзів у Бордо.
sammeln;A<br><br>sammelt<br>hat gesammelt<br>sammelte<br><br>Lara sammelt Ideen для відпустки.<br><br>збирати<br><br>Лара збирає ідеї для відпустки.
Hund;der<br><br>Hunde<br><br>Ich spiele mit dem Hund im Garten.<br><br>собака<br><br>Я граю з собакою в саду.
Strand;der<br><br>Strände<br><br>Wir liegen am Strand und hören das Meer.<br><br>пляж<br><br>Ми лежимо на пляжі й слухаємо море.
Hotel;das<br><br>Hotels<br><br>Das Hotel bietet günstige Zimmer an.<br><br>готель<br><br>Готель пропонує недорогі номери.
Stadt;die<br><br>Städte<br><br>Tim möchte eine große Stadt ansehen.<br><br>місто<br><br>Тім хоче подивитися велике місто.
Vorschlag;der<br><br>Vorschläge<br><br>Lara macht einen neuen Vorschlag.<br><br>пропозиція<br><br>Лара робить нову пропозицію.
klein;groß<br><br>Der kleine Hund läuft schnell.<br><br>маленький / великий<br><br>Маленький собака біжить швидко.
schnell;langsam<br><br>Der kleine Hund läuft schnell.<br><br>швидкий / повільний<br><br>Маленький собака біжить швидко.
ruhig;laut<br><br>Wir suchen eine ruhige Unterkunft.<br><br>тихий / гучний<br><br>Ми шукаємо тихе житло.
günstig;teuer<br><br>Das Zimmer ist sehr günstig.<br><br>дешевий / дорогий<br><br>Кімната дуже дешева.
gefährlich;ungefährlich<br><br>Bergsteigen kann gefährlich sein.<br><br>небезпечний / безпечний<br><br>Скелелазіння може бути небезпечним.

Urlaub machen;Urlaub machen<br><br>Wir machen diesen Sommer Urlaub an der Ostsee.<br><br>проводити відпустку<br><br>Цього літа ми проводимо відпустку на Балтійському морі.
eine Fahrradtour machen;eine Fahrradtour machen<br><br>Tim und Lara wollen eine Fahrradtour an der Mosel machen.<br><br>робити велосипедну прогулянку<br><br>Тім і Лара хочуть зробити велосипедну прогулянку вздовж Мозеля.
eine Wanderung machen;eine Wanderung machen<br><br>Wir machen am Wochenende eine Wanderung in den Bergen.<br><br>робити пішохідний похід<br><br>Ми робимо на вихідних пішохідний похід у горах.
eine Stadtführung machen;eine Stadtführung machen<br><br>Luiza macht für ihre Freunde eine Stadtführung in Wien.<br><br>проводити екскурсію містом<br><br>Луїза проводить екскурсію містом у Відні для своїх друзів.
